epoch,train_loss,val_loss,lr,no_improve_epochs
1,11.036825875441233,9.455775439739227,0.003,0
2,10.707317312558493,10.071686242707074,0.003,1
3,10.892971515655518,9.156484346836805,0.003,0
4,3.6067520479361215,0.3856718954630196,0.003,0
5,1.1239422646661599,0.5940118122380227,0.003,1
6,0.3103872071951628,0.45186823420226574,0.003,2
7,0.36054337304085493,0.12985500181093812,0.003,0
8,0.20659437961876392,0.15985633895616047,0.003,1
9,0.08668957278132439,0.05259885071427561,0.003,0
10,0.057382425448546805,0.058984640607377514,0.003,1
11,0.044038500636816025,0.039579942109412514,0.003,0
12,0.03525795383999745,0.03453061189793516,0.003,0
13,0.03176909211712579,0.032606812368612736,0.003,0
14,0.029827758204191923,0.03054851094202604,0.003,0
15,0.02850268214630584,0.028929149091709405,0.003,0
16,0.025889618167032797,0.025564876486896537,0.003,0
17,0.018001441261731088,0.006765432946849614,0.003,0
18,0.013148833299055696,0.014325073119834997,0.003,1
19,0.016144237655680627,0.013015256001381204,0.003,2
20,0.009733049024362117,0.016137886588694528,0.003,3
21,0.01313560374546796,0.006821739480074029,0.003,4
22,0.010902174554454783,0.004133099842874799,0.003,0
23,0.008853331324644387,0.006867264666652773,0.003,1
24,0.004819773409205179,0.004615967955032829,0.003,2
25,0.006686007904742534,0.00754457245420781,0.003,3
26,0.020462315616896376,0.01416445265931543,0.003,4
27,0.027390195541859914,0.041420506313443184,0.003,5
28,0.03505880176089704,0.06066069647204131,0.003,6
29,0.03284503682516515,0.0350845757056959,0.003,7
30,0.06603257435684402,0.07824158680159599,0.003,8
31,0.03634676098590717,0.053597025224007666,0.003,9
32,0.044123664032667875,0.03331723078736104,0.003,10
33,0.05198956053936854,0.03117965639103204,0.0015,11
34,0.02244656498078257,0.026521171821514145,0.0015,12
35,0.012281404129074266,0.00823858840885805,0.0015,13
36,0.009161881830853721,0.004267188312951475,0.0015,14
37,0.0034917770341659584,0.0022303125224425457,0.0015,0
38,0.002022427487342308,0.002161702367629914,0.0015,0
39,0.0017562194019167994,0.0016436069490737282,0.0015,0
40,0.0019180975602163623,0.0017361753216391662,0.0015,1
41,0.0016339015952932339,0.0016174700831470545,0.0015,0
42,0.0012467318495813136,0.0013448385207084357,0.0015,0
43,0.0012430676579242572,0.001276945371500915,0.0015,0
44,0.0010349004526991241,0.001217693059516023,0.0015,0
45,0.0010508548039069865,0.0012286195706110448,0.0015,1
46,0.001004318313789554,0.0011049909162466065,0.0015,0
47,0.0009232984909128087,0.001077053825611074,0.0015,0
48,0.0008811466468614526,0.001047321632540843,0.0015,0
49,0.000829678133110671,0.0008579660809573397,0.0015,0
50,0.000767812206807624,0.0008286842999041255,0.0015,0
51,0.0007746302217128687,0.0007718293077232374,0.0015,0
52,0.0007178712451908117,0.0007050197077660414,0.0015,0
53,0.0007310070601912836,0.0009448748126033024,0.0015,1
54,0.0008404063410125673,0.0008098062744466006,0.0015,2
55,0.0007059891747000316,0.0006788459215840703,0.0015,0
56,0.0006134775503596757,0.0005717387348340708,0.0015,0
57,0.000531936118932208,0.0012134403150412254,0.0015,1
58,0.0006317221705103293,0.000616853981227905,0.0015,2
59,0.0005460221461059215,0.0005598803425073129,0.0015,0
60,0.0005431589609846318,0.0006789901017327793,0.0015,1
61,0.00044079575915626873,0.00046712055473108194,0.0015,0
62,0.0004274315397196915,0.00048633053847879637,0.0015,1
63,0.00041942355286058347,0.0005383256379900558,0.0015,2
64,0.00040881704080675263,0.0005024587553634774,0.0015,3
65,0.00043838584921710816,0.0004677342310515087,0.0015,4
66,0.0004264872914063744,0.00048478365897608455,0.0015,5
67,0.0004855180328983503,0.00040097890496326727,0.0015,0
68,0.00039852390424736467,0.0003663748273083911,0.0015,0
69,0.0003857705863386703,0.000492631503220764,0.0015,1
70,0.00040172629329996806,0.00046428512791862886,0.0015,2
71,0.00041289044626561616,0.0010192510981141822,0.0015,3
72,0.0005016985693752455,0.0003477026632481284,0.0015,0
73,0.0003252331528832049,0.00045669084761357226,0.0015,1
74,0.0003777308884309605,0.0007454336423506902,0.0015,2
75,0.0006043536692838339,0.0005629353154290584,0.0015,3
76,0.0006138381431810558,0.00043353743330953876,0.0015,4
77,0.0004283877133275382,0.0011498947742438759,0.0015,5
78,0.0016348386343452148,0.00042956088600476505,0.0015,6
79,0.002672293090048091,0.007273907940543722,0.0015,7
80,0.003988804446028856,0.003254791181461769,0.0015,8
81,0.001484698915495149,0.0021796413220727118,0.0015,9
82,0.002190863298892509,0.005179518674594874,0.0015,10
83,0.0028482915028386437,0.004655079401345574,0.00075,11
84,0.0021844944421900436,0.002553203852585284,0.00075,12
85,0.0007888066168864801,0.0004833952081071402,0.00075,13
86,0.00040711319525144063,0.00041165327274939045,0.00075,14
87,0.00039208373467166285,0.00030836108146559127,0.00075,0
